"_defaultColorIndex","id","intrinsic-dimension","log-likelihood","name"
"1","smumtodm","82.6103515625","12458.2421875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","81.003662109375","12764.447265625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","93.611083984375","12855.5439453125","svhn_vs_svhn_test_enjamb"
"1","smumtodm","114.3330078125","12254.2783203125","svhn_vs_svhn_test_enjamb"
"1","smumtodm","110.384765625","12344.6826171875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","71.287353515625","12799.1923828125","svhn_vs_svhn_test_enjamb"
"1","smumtodm","66.0830078125","13025.75","svhn_vs_svhn_test_enjamb"
"1","smumtodm","51.7939453125","13714.6337890625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","69.15087890625","13285.3388671875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","70.6806640625","13167.7958984375","svhn_vs_svhn_test_enjamb"
"1","smumtodm","89.672119140625","12712.970703125","svhn_vs_svhn_test_enjamb"
"1","smumtodm","99.174072265625","12336.462890625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","141.14111328125","10861.1123046875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","149.6279296875","10805.046875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","110.676513671875","12881.47265625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","96.656494140625","12957.9638671875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","85.969482421875","12826.1875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","84.02587890625","12896.94921875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","108.76171875","12063.8681640625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","109.535888671875","12096.943359375","svhn_vs_svhn_test_enjamb"
"1","smumtodm","152.218017578125","10947.462890625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","72.740966796875","12704.296875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","74.29736328125","12579.12109375","svhn_vs_svhn_test_enjamb"
"1","smumtodm","63.206298828125","13513.0380859375","svhn_vs_svhn_test_enjamb"
"1","smumtodm","67.97802734375","13529.3662109375","svhn_vs_svhn_test_enjamb"
"1","smumtodm","55.3037109375","13522.876953125","svhn_vs_svhn_test_enjamb"
"1","smumtodm","49.982177734375","13560.6591796875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","128.906005859375","11459.140625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","123.58154296875","11821.3662109375","svhn_vs_svhn_test_enjamb"
"1","smumtodm","135.905029296875","11677.0986328125","svhn_vs_svhn_test_enjamb"
"1","smumtodm","152.589599609375","11364.6865234375","svhn_vs_svhn_test_enjamb"
"1","smumtodm","142.23583984375","11693.013671875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","47.70556640625","13899.6845703125","svhn_vs_svhn_test_enjamb"
"1","smumtodm","76.343505859375","13087.34765625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","76.2880859375","13107.21875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","65.59619140625","13179.08984375","svhn_vs_svhn_test_enjamb"
"1","smumtodm","76.916015625","13025.3203125","svhn_vs_svhn_test_enjamb"
"1","smumtodm","124.49658203125","11935.55078125","svhn_vs_svhn_test_enjamb"
"1","smumtodm","81.488525390625","12311.603515625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","87.700927734375","12361.4248046875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","54.32666015625","13526.171875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","230.5751953125","10210.7744140625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","146.01171875","11103.1494140625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","147.401611328125","10724.9033203125","svhn_vs_svhn_test_enjamb"
"1","smumtodm","170.311767578125","10256.8310546875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","144.089599609375","11522.765625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","138.996337890625","11521.94921875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","75.435791015625","12954.974609375","svhn_vs_svhn_test_enjamb"
"1","smumtodm","80.4189453125","12968.271484375","svhn_vs_svhn_test_enjamb"
"1","smumtodm","115.8212890625","11677.0947265625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","119.118896484375","11807.513671875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","136.333740234375","11276.10546875","svhn_vs_svhn_test_enjamb"
"1","smumtodm","141.790771484375","11201.978515625","svhn_vs_svhn_test_enjamb"
"1","smumtodm","126.8125","11315.892578125","svhn_vs_svhn_test_enjamb"
